1a9n.cif,48,44.798,0.254,0.2
1b23.cif,74,23.381,0.194,0.165
1b7f.cif,24,27.113,0.455,0.595
1bmv.cif,11,14.338,0.635,1.007
1br3.cif,13,13.599,0.399,0.503
1c9s.cif,55,39.979,0.177,-0.143
1csl.cif,13,12.54,0.034,0.012
1cvj.cif,63,30.067,0.056,-0.026
1d4r.cif,29,24.705,0.627,0.993
1duq.cif,48,28.135,0.121,-0.044
1ec6.cif,40,27.257,0.253,0.134
1egk.cif,40,20.459,0.036,-0.013
1et4.cif,180,37.861,0.005,0.0
1f1t.cif,38,15.663,0.126,0.088
1f27.cif,19,11.64,0.17,0.137
1f7u.cif,75,22.665,0.208,0.167
1f8v.cif,25,21.431,0.265,0.242
1feu.cif,38,19.082,0.063,0.014
1fuf.cif,28,12.035,0.115,0.078
1hmh.cif,102,23.949,0.011,-0.002
1hys.cif,23,21.106,0.52,0.746
1i6u.cif,74,24.769,0.011,0.002
1i9x.cif,26,12.56,0.069,0.036
1il2.cif,145,44.963,0.538,0.778
1j1u.cif,74,22.0,0.189,0.144
1j2b.cif,148,41.097,0.056,-0.024
1jbr.cif,18,15.716,0.08,-0.016
1kd5.cif,22,13.091,0.051,-0.023
1kfo.cif,19,17.207,0.458,0.617
1kog.cif,296,66.941,0.178,0.148
1kuq.cif,57,21.027,0.02,-0.002
1kxk.cif,70,26.965,0.384,0.419
1l2x.cif,28,12.572,0.009,0.002
1l9a.cif,126,31.618,0.595,0.893
1lnt.cif,12,12.112,0.08,0.029
1m5k.cif,42,63.224,0.235,-0.226
1mhk.cif,12,11.699,0.208,0.188
1mji.cif,68,19.88,0.184,0.141
1mzp.cif,55,16.792,0.001,-0.0
1n32.cif,1513,64.747,0.061,0.027
1nta.cif,22,13.672,0.046,-0.008
1nuv.cif,52,21.028,0.03,-0.01
1ooa.cif,58,26.303,0.222,0.187
1p6v.cif,69,25.382,0.198,0.115
1q2r.cif,38,16.785,0.01,-0.002
1q96.cif,81,25.211,0.462,0.624
1qbp.cif,90,34.737,0.165,0.132
1qc0.cif,9,10.469,0.035,-0.006
1qcu.cif,22,11.729,0.102,0.064
1qtq.cif,74,22.83,0.148,0.001
1qvf.cif,2754,64.278,0.017,-0.003
1r3e.cif,17,10.709,0.069,0.019
1r9f.cif,20,17.048,0.345,0.402
1rna.cif,28,13.265,0.021,-0.0
1rpu.cif,42,19.064,0.5,0.699
1s03.cif,94,38.163,0.341,0.275
1sdr.cif,24,16.012,0.116,0.036
1sds.cif,45,33.856,0.205,0.155
1ser.cif,65,17.772,0.005,0.0
1t0e.cif,18,15.032,0.22,0.188
1t0k.cif,12,13.226,0.067,-0.027
1tfw.cif,12,12.202,0.26,0.242
1tfy.cif,26,44.585,0.048,0.004
1u1y.cif,31,21.674,0.085,-0.018
1u63.cif,98,24.424,0.042,-0.014
1u6b.cif,197,31.138,0.043,-0.01
1u9s.cif,155,29.383,0.151,0.088
1wz2.cif,176,66.536,0.323,0.303
1xjr.cif,47,17.974,0.142,-0.042
1xnq.cif,1507,64.677,0.066,0.03
1xnr.cif,1507,64.715,0.065,0.03
1xok.cif,27,14.885,0.048,0.021
1y27.cif,69,19.494,0.313,0.312
1yfg.cif,75,23.176,0.048,0.015
